id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Départ aire parapente,1039,0.0,0.0,0,0,6.87631,45.9299,Sa. 08:00,00:00:00,-,0.0,0.0,0.0
40,Le Lavancher,1205,5.2,5.2,212,212,6.90739,45.9576,Sa. 08:31,00:31:50,368,9.88,0.5305555555555556,0.5305555555555556
52,Montroc,1369,11.7,6.5,554,342,6.93403,45.9971,,,,0.0,0.0,-0.5305555555555556
64,Bas bois plagnolet,1447,15.4,3.7,906,352,6.91517,45.9781,Sa. 09:58,01:58:31,339,7.01,1.975277777777778,1.975277777777778
66,Flégère ravito,1872,19.1,3.7,1345,439,6.88577,45.9599,Sa. 10:43,02:43:29,327,4.95,2.7247222222222223,0.7494444444444444
80,Planpraz - Arrivée ,2048,24.4,5.3,1656,311,6.8523,45.9369,Sa. 11:37,03:37:53,329,5.86,3.631388888888889,0.9066666666666667
