id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Megève Centre,1100,0.0,0.0,0,0,6.61924,45.8587,Sa. 08:59,00:00:00,-,0.0,0.0,0.0
10,Les Pettoreaux,1300,5.6,5.6,384,384,6.63621,45.8606,Sa. 09:37,00:38:20,52,8.75,0.6388888888888888,0.6388888888888888
12,Pré St-Amour,1101,9.1,3.5,453,69,6.61951,45.8587,Sa. 09:55,00:55:58,50,11.81,0.9327777777777777,0.29388888888888887
14,Sommet TC Jaillet,1577,14.1,5.0,945,492,6.59881,45.8696,Sa. 10:35,01:36:32,37,7.44,1.608888888888889,0.6761111111111113
24,Megève Centre,1100,17.9,3.8,948,3,6.61925,45.8586,Sa. 10:53,01:54:00,39,12.92,1.9,0.2911111111111109
