id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Plaine Joux,1355,0.0,0.0,0,0,6.74,45.9502,Di. 07:28,00:00:00,-,0.0,0.0,0.0
13,Refuge Alfred Wills,1807,18.4,18.4,1695,1695,6.79135,46.0046,Di. 10:39,03:11:00,95,5.78,3.183333333333333,3.183333333333333
19,Fontaine Ayere,1668,26.6,8.1,2253,558,6.77356,45.9627,Di. 12:01,04:32:43,92,5.98,4.545277777777778,1.3619444444444446
20,Refuge du Châlet d'Ayères,1420,29.3,2.8,2258,5,6.76376,45.9513,Di. 12:14,04:46:15,96,12.24,4.770833333333333,0.2255555555555553
24,Plaine Joux,1355,31.7,2.4,2342,84,6.74,45.9502,Di. 12:30,05:01:51,97,9.31,5.030833333333334,0.2600000000000007
