id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Départ,1464,0.0,0.0,0,0,6.50826,44.9718,Di. 06:00,00:00:00,-,0.0,0.0,0.0
2,Pic du Chardonnet,2698,9.3,9.3,1358,1358,6.49517,45.0235,Di. 08:06,02:06:04,286,4.41,2.1011111111111114,2.1011111111111114
6,Col de Roches Noires,2664,16.2,6.9,1831,473,6.53068,45.009,Di. 09:24,03:23:47,248,5.31,3.3963888888888887,1.2952777777777773
10,Col du Granon,2407,33.1,16.9,2582,751,6.61087,44.9627,Di. 12:36,06:35:42,209,5.29,6.595,3.198611111111111
12,Tronchets,1956,43.5,10.5,2977,395,6.59424,44.9515,Di. 14:16,08:15:17,184,6.3,8.254722222222222,1.6597222222222223
16,Grand Aréa,2844,48.5,5.0,3879,902,6.57235,44.9795,Di. 16:00,09:59:34,157,2.85,9.992777777777777,1.7380555555555546
23,Arrivée,1464,56.5,8.0,3882,3,6.50826,44.9718,Di. 17:04,11:03:46,162,7.51,11.062777777777779,1.070000000000002
