id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Fond de France,1067,0.0,0.0,0,0,6.07426,45.2822,Sa. 05:14,00:00:00,-,0.0,0.0,0.0
36,R7 Périoule,1807,25.6,25.6,2641,2641,6.15871,45.3368,Sa. 11:10,05:56:04,155,4.32,5.934444444444445,5.934444444444445
42,R8 Super Collet,1643,35.6,9.9,3293,652,6.12852,45.3932,Sa. 13:30,08:15:15,140,4.28,8.254166666666666,2.3197222222222216
54,R9 Val pelouse,1721,53.0,17.5,4798,1505,6.1691,45.4192,Sa. 18:54,13:39:57,122,3.23,13.665833333333333,5.411666666666667
62,PM34 Champet col,1725,62.9,9.9,5583,785,6.2204,45.4613,Sa. 21:53,16:38:58,107,3.31,16.649444444444445,2.983611111111111
66,R10 Le pontet,888,70.6,7.7,5630,47,6.23828,45.5013,Sa. 23:17,18:02:22,112,5.56,18.039444444444445,1.3900000000000006
80,Arrivée Aiguebelle,319,83.4,12.8,6109,479,6.30233,45.5454,Di. 01:49,20:34:47,107,5.02,20.579722222222223,2.540277777777778
