id,Point_passage,Altitude_m,Cumul_Dist_km,Delta_Dist_km,Cumul_D+_m,Delta_D+_m,lon,lat,Heure_Passage,Temps_course,Classement,Vitesse_km/h,H_reel_h,Delta_reel_h
0,Martigny Combe,662,0.0,0.0,0,0,7.05579,46.0867,Lu. 09:59,00:00:00,-,0.0,0.0,0.0
37,Col de la Forclaz,1677,7.8,7.8,1019,1019,7.00134,46.0577,Lu. 11:13,01:13:21,241,6.4,1.2225000000000001,1.2225000000000001
38,Col de Balme,2206,17.1,9.3,1826,807,6.97023,46.0266,Lu. 13:12,03:12:31,221,4.66,3.2086111111111113,1.9861111111111112
41,Argentière,1282,27.9,10.9,2009,183,6.92887,45.9842,Lu. 14:41,04:41:52,238,7.29,4.697777777777778,1.4891666666666663
42,Le Lavancher,1212,33.1,5.2,2154,145,6.90614,45.9524,Lu. 15:25,05:25:45,252,7.97,5.429166666666667,0.7313888888888895
142,Chamonix,1016,39.1,6.0,2211,57,6.86927,45.9236,Lu. 16:24,06:24:17,251,6.17,6.404722222222222,0.9755555555555553
